Region,Country,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Chad,2920025.64,2353920.64,566105.00
Europe,Latvia,51008.75,34174.25,16834.50
Middle East and North Africa,Pakistan,1003700.90,592408.95,411291.95
Sub-Saharan Africa,Democratic Republic of the Congo,5134318.41,3861014.82,1273303.59
Europe,Czech Republic,165647.95,110978.89,54669.06
Sub-Saharan Africa,South Africa,468806.00,314085.20,154720.80
Asia,Laos,743339.50,438737.25,304602.25
Asia,China,850082.40,530868.60,319213.80
Sub-Saharan Africa,Eritrea,1025614.59,886561.39,139053.20
Central America and the Caribbean,Haiti,4035548.37,3253177.12,782371.25
Sub-Saharan Africa,Zambia,148926.80,84787.64,64139.16
Europe,Bosnia and Herzegovina,2334535.60,1457895.90,876639.70
Europe,Germany,4309707.78,3474185.28,835522.50
Asia,India,3567225.26,2682558.52,884666.74
Middle East and North Africa,Algeria,1041110.56,341447.68,699662.88
Australia and Oceania,Palau,67287.78,42971.04,24316.74
Central America and the Caribbean,Cuba,64769.25,43393.35,21375.90
Europe,Vatican City,124176.65,83194.43,40982.22
Middle East and North Africa,Lebanon,534922.85,370905.15,164017.70
Europe,Lithuania,386027.40,246523.20,139504.20
Sub-Saharan Africa,Mauritius ,866967.60,522183.39,344784.21
Europe,Ukraine,2178297.45,1755991.20,422306.25
Europe,Russia,1081944.78,690947.04,390997.74
Asia,Japan,316970.00,190914.25,126055.75
Europe,Russia,1596431.76,1379986.96,216444.80
Europe,Liechtenstein,436760.10,257786.55,178973.55
Europe,Greece,707806.56,232135.68,475670.88
Europe,Albania,86539.92,54043.38,32496.54
Australia and Oceania,Federated States of Micronesia,531748.24,332071.86,199676.38
Central America and the Caribbean,Dominica,303727.45,203487.79,100239.66
Europe,Andorra,10419.36,8399.36,2020.00
Europe,Switzerland,546283.32,378782.28,167501.04
Central America and the Caribbean,Trinidad and Tobago,559318.48,349289.22,210029.26
Europe,San Marino,1440923.18,850468.29,590454.89
Central America and the Caribbean,Nicaragua,28176.60,20898.40,7278.20
Middle East and North Africa,Azerbaijan,2217478.40,1335609.76,881868.64
Asia,Bangladesh,769896.60,533831.40,236065.20
Europe,Serbia,332387.25,222688.95,109698.30
Sub-Saharan Africa,Mauritius ,7491.99,5556.76,1935.23
Central America and the Caribbean,Jamaica,208308.48,130086.72,78221.76
Europe,Italy,1868373.10,1063710.13,804662.97
Asia,Bhutan,510337.60,167372.80,342964.80
Middle East and North Africa,Turkey,948004.00,310912.00,637092.00
Europe,Bulgaria,4034918.80,2430272.57,1604646.23
Middle East and North Africa,Pakistan,4339077.11,3262992.22,1076084.89
Europe,Poland,1575456.30,896945.49,678510.81
Europe,France,497796.00,310869.00,186927.00
Central America and the Caribbean,Jamaica,1435439.44,896418.66,539020.78
Australia and Oceania,Australia,569004.26,394536.54,174467.72
Middle East and North Africa,Somalia,11989.05,8892.20,3096.85
Europe,Slovenia,2597405.20,1564443.53,1032961.67
Australia and Oceania,Samoa ,580276.80,190310.40,389966.40
Sub-Saharan Africa,South Africa,1193471.40,679472.22,513999.18
Sub-Saharan Africa,Ghana,132645.66,78290.73,54354.93
Asia,Sri Lanka,3880560.39,3128236.64,752323.75
Sub-Saharan Africa,Guinea,1520069.67,1313978.07,206091.60
Europe,Spain,77690.91,57622.84,20068.07
Europe,Moldova ,138859.27,96282.33,42576.94
Central America and the Caribbean,Dominican Republic,1505312.60,857010.98,648301.62
Europe,Luxembourg,475178.22,329479.38,145698.84
Middle East and North Africa,Kuwait,6413116.08,5169806.08,1243310.00
Central America and the Caribbean,Saint Lucia,85014.96,63055.04,21959.92
Europe,Georgia,821139.80,484656.90,336482.90
Europe,Bosnia and Herzegovina,3172760.40,1910985.81,1261774.59
Europe,Iceland,866349.24,553264.32,313084.92
Sub-Saharan Africa,Mauritius ,687512.76,476708.04,210804.72
Sub-Saharan Africa,Malawi,3455971.47,2785962.72,670008.75
Sub-Saharan Africa,Seychelles ,1368189.27,1182689.67,185499.60
Europe,Montenegro,92354.90,64037.10,28317.80
Europe,Germany,3282542.24,2468476.48,814065.76
Europe,Estonia,1080882.18,934335.78,146546.40
Europe,Serbia,992699.52,325570.56,667128.96
Sub-Saharan Africa,Madagascar,387004.48,241680.72,145323.76
Sub-Saharan Africa,Benin,186193.80,124743.96,61449.84
Europe,Hungary,263036.96,86266.88,176770.08
Central America and the Caribbean,Cuba,41534.00,25016.35,16517.65
Sub-Saharan Africa,Senegal,20040.84,14864.16,5176.68
Middle East and North Africa,Algeria,117239.66,69197.73,48041.93
Europe,Bosnia and Herzegovina,12668.15,8783.85,3884.30
Central America and the Caribbean,Antigua and Barbuda ,404874.08,252840.12,152033.96
Asia,Cambodia,681628.20,472627.80,209000.40
Middle East and North Africa,Oman,113234.10,66833.55,46400.55
North America,United States of America,285403.04,178231.56,107171.48
Sub-Saharan Africa,Mauritania,5776883.91,4656920.16,1119963.75
Sub-Saharan Africa,Central African Republic,2362191.60,1422771.99,939419.61
Europe,Albania,2337854.24,1459968.36,877885.88
Europe,Switzerland,93822.54,55376.37,38446.17
Sub-Saharan Africa,Ghana,4852308.47,3648942.94,1203365.53
Europe,Austria,1332619.00,786544.50,546074.50
Sub-Saharan Africa,Democratic Republic of the Congo,898154.88,675413.76,222741.12
Central America and the Caribbean,Dominican Republic,430672.48,141245.44,289427.04
Sub-Saharan Africa,Mauritius ,528429.60,329999.40,198430.20
Middle East and North Africa,Libya,1483856.80,893742.02,590114.78
Australia and Oceania,Samoa ,1696402.05,1367520.80,328881.25
Middle East and North Africa,Kuwait,525115.25,364104.75,161010.50
Europe,Hungary,3632894.79,3140345.59,492549.20
Sub-Saharan Africa,Senegal,234735.15,157265.13,77470.02
Europe,Moldova ,674435.96,467640.84,206795.12
Sub-Saharan Africa,Eritrea,160143.75,107291.25,52852.50
